cod_radio,pob_total,pob_adulta_mayor,pct_adulta_mayor
020841612,740,143,19.32
020841613,588,109,18.54
020841614,337,82,24.33
020841615,671,88,13.11
020841616,618,85,13.75
020841617,922,140,15.18
020841618,628,83,13.22
020841619,540,72,13.33
020841620,629,93,14.79
020841621,679,121,17.82
020841701,1146,201,17.54
020841702,961,184,19.15
020841703,1040,194,18.65
020841704,1022,157,15.36
020841705,1387,214,15.43
020841706,1119,225,20.11
020841707,1245,184,14.78
020841708,440,90,20.45
020841709,623,84,13.48
020841710,952,145,15.23
020841801,772,148,19.17
020841802,1066,214,20.08
020841803,1080,226,20.93
020841804,1037,203,19.58
020841805,1079,180,16.68
020841806,1143,193,16.89
020841807,963,196,20.35
020841808,956,165,17.26
020841809,881,132,14.98
020841810,1114,148,13.29
020841811,678,116,17.11
020841812,663,86,12.97
020841813,821,188,22.9
020841814,540,83,15.37
020841815,434,49,11.29
020841901,1043,222,21.28
020841902,602,110,18.27
020841903,685,133,19.42
020841904,907,198,21.83
020841905,1350,243,18.0
020841906,1100,211,19.18
020841907,877,163,18.59
020841908,961,179,18.63
020841909,1026,186,18.13
020841910,947,165,17.42
020841911,1111,224,20.16
020841912,889,161,18.11
020841913,770,138,17.92
020842001,854,169,19.79
020842002,765,153,20.0
020842003,729,110,15.09
020842004,1381,294,21.29
020842005,1034,225,21.76
020842006,1369,271,19.8
020842007,1209,266,22.0
020842008,1076,195,18.12
020842009,877,149,16.99
020842010,632,126,19.94
020842101,638,126,19.75
020842102,774,125,16.15
020842103,653,121,18.53
020842104,1286,242,18.82
020842105,890,176,19.78
020842106,895,148,16.54
020842107,1196,221,18.48
020842108,1185,244,20.59
020842109,731,158,21.61
020842110,881,154,17.48
020842111,789,138,17.49
020842112,660,129,19.55
020842113,848,129,15.21
020842201,806,158,19.6
020842202,1044,197,18.87
020842203,1034,192,18.57
020842204,865,147,16.99
020842205,1127,223,19.79
020842206,915,163,17.81
020842207,804,131,16.29
020842208,1081,195,18.04
020842209,674,128,18.99
020842210,1117,215,19.25
020842211,1104,260,23.55
020842212,814,140,17.2
020842213,499,80,16.03
020842214,482,86,17.84
020842215,617,94,15.24
020910101,1176,222,18.88
020910102,835,164,19.64
020910103,835,196,23.47
020910104,652,102,15.64
020910105,1221,259,21.21
020910106,1348,226,16.77
020910107,723,157,21.72
020910108,683,156,22.84
020910109,600,143,23.83
020910110,812,215,26.48
020910111,643,153,23.79
020910112,529,122,23.06
020910113,605,162,26.78
020910114,535,101,18.88
020910115,459,73,15.9
020910201,640,128,20.0
020910202,860,186,21.63
020910203,819,190,23.2
020910204,756,161,21.3
020910205,996,187,18.78
020910206,886,146,16.48
020910207,785,158,20.13
020910208,786,161,20.48
020910209,1126,246,21.85
020910210,1281,264,20.61
020910211,706,88,12.46
020910212,742,134,18.06
020910213,601,74,12.31
020910301,1149,201,17.49
020910302,680,121,17.79
020910303,820,150,18.29
020910304,571,121,21.19
020910305,1101,183,16.62
020910306,1037,182,17.55
020910307,806,132,16.38
020910308,1113,170,15.27
020910309,1091,163,14.94
020910310,755,98,12.98
020910311,751,112,14.91
020910312,505,67,13.27
020910313,489,76,15.54
020910401,956,170,17.78
020910402,957,163,17.03
020910403,863,183,21.21
020910404,1215,258,21.23
020910405,1085,239,22.03
020910406,1093,179,16.38
020910407,845,166,19.64
020910408,785,150,19.11
020910409,843,156,18.51
020910410,578,104,17.99
020910411,918,142,15.47
020910412,225,36,16.0
020910413,737,180,24.42
020910414,774,152,19.64
020910415,645,89,13.8
020910416,594,88,14.81
020910501,810,142,17.53
020910502,1237,220,17.78
020910503,525,98,18.67
020910504,981,199,20.29
020910505,1050,202,19.24
020910506,957,148,15.46
020910507,1067,169,15.84
020910508,1322,217,16.41
020910509,731,99,13.54
020910510,647,128,19.78
020910511,667,81,12.14
020910512,427,54,12.65
020910601,744,168,22.58
020910602,1133,198,17.48
020910603,1012,203,20.06
020910604,1047,156,14.9
020910605,1084,182,16.79
020910606,947,206,21.75
020910607,1140,222,19.47
020910608,810,167,20.62
020910701,626,92,14.7
020910702,565,112,19.82
020910703,1286,233,18.12
