cod_radio,hogares_total,hogares_nbi,pct_nbi
020142001,422,7,1.66
020142002,524,42,8.02
020142003,542,26,4.8
020142004,323,16,4.95
020142005,435,52,11.95
020142006,412,50,12.14
020142007,466,10,2.15
020142008,370,3,0.81
020142009,232,17,7.33
020142101,474,12,2.53
020142102,565,29,5.13
020142103,398,14,3.52
020142104,606,5,0.83
020142105,532,8,1.5
020142106,461,14,3.04
020142201,405,3,0.74
020142202,335,7,2.09
020142203,346,4,1.16
020142204,493,10,2.03
020142205,555,5,0.9
020142206,622,5,0.8
020142301,335,2,0.6
020142302,426,0,0.0
020142303,498,3,0.6
020142304,423,5,1.18
020142305,279,1,0.36
020142306,136,5,3.68
020142307,228,2,0.88
020142308,163,2,1.23
020142309,458,4,0.87
020142401,432,9,2.08
020142402,301,18,5.98
020142403,385,10,2.6
020142404,484,6,1.24
020142405,556,9,1.62
020142406,512,7,1.37
020142501,308,21,6.82
020142502,433,17,3.93
020142503,169,1,0.59
020142504,415,7,1.69
020142505,401,5,1.25
020142506,387,47,12.14
020142507,392,9,2.3
020142508,361,3,0.83
020142509,500,23,4.6
020142510,276,2,0.72
020142511,273,1,0.37
020142512,345,0,0.0
020142513,291,17,5.84
020210101,313,24,7.67
020210102,447,13,2.91
020210103,432,18,4.17
020210104,260,12,4.62
020210105,382,23,6.02
020210106,289,15,5.19
020210107,293,83,28.33
020210108,240,16,6.67
020210109,395,16,4.05
020210110,169,55,32.54
020210111,299,28,9.36
020210112,277,1,0.36
020210201,385,23,5.97
020210202,341,5,1.47
020210203,228,3,1.32
020210204,303,5,1.65
020210205,458,53,11.57
020210206,309,17,5.5
020210207,438,24,5.48
020210208,485,40,8.25
020210209,392,19,4.85
020210210,203,6,2.96
020210211,274,11,4.01
020210212,367,49,13.35
020210301,511,9,1.76
020210302,487,64,13.14
020210303,408,27,6.62
020210304,280,12,4.29
020210305,353,15,4.25
020210306,343,8,2.33
020210307,369,7,1.9
020210308,409,45,11.0
020210309,210,13,6.19
020210310,275,40,14.55
020210311,346,61,17.63
020210401,425,25,5.88
020210402,265,14,5.28
020210403,349,13,3.72
020210404,442,60,13.57
020210405,311,27,8.68
020210406,391,12,3.07
020210407,325,5,1.54
020210408,215,18,8.37
020210501,411,27,6.57
020210502,326,7,2.15
020210503,563,19,3.37
020210504,280,17,6.07
020210505,415,13,3.13
020210506,235,3,1.28
020210507,459,10,2.18
020210601,552,34,6.16
020210602,361,50,13.85
020210603,416,11,2.64
020210604,410,5,1.22
020210605,392,66,16.84
020210606,299,14,4.68
020210607,354,5,1.41
020210701,169,3,1.78
020210702,484,20,4.13
020210703,510,33,6.47
020210704,510,38,7.45
020210705,369,42,11.38
020210706,334,26,7.78
020210707,588,12,2.04
020210708,239,47,19.67
020210709,469,19,4.05
020210801,390,2,0.51
020210802,221,4,1.81
020210803,393,12,3.05
020210804,235,9,3.83
020210805,236,8,3.39
020210806,231,2,0.87
020210807,242,16,6.61
020210808,243,46,18.93
020210809,314,12,3.82
020210810,233,13,5.58
020210901,406,7,1.72
020210902,276,31,11.23
020210903,500,15,3.0
020210904,435,54,12.41
020210905,248,21,8.47
020210906,279,38,13.62
020210907,302,92,30.46
020210908,292,16,5.48
020210909,466,47,10.09
